Film,Year,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Average audience ,Audience vs Critics deviance ,Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),IMDb Rating,IMDB vs RT disparity,one-hot encoding Script Type,one-hot encoding Genre,one-hot encoding Oscar Winners,vote_average
300,2007,60,51,56.0,89,71,80.0,-25,210614939,211,245,245453242,456068181,456,65,0,0,0,35,0,7.0
3:10 to yuma,2007,88,76,82.0,86,73,80.0,3,53606916,54,16,16173815,69780731,70,50,0,0,9,44,0,7.1
30 days of night,2007,50,53,52.0,56,65,61.0,-9,39568996,40,36,35526091,75095087,75,32,0,0,0,29,0,6.2
across the universe,2007,54,56,55.0,82,73,78.0,-23,24343673,24,5,5023470,29367143,29,45,0,0,6,32,0,7.1
alien vs. predator - requiem,2007,14,29,22.0,31,45,38.0,-17,41797066,42,87,87086650,128883716,129,40,0,0,11,38,0,5.0
alvin and the chipmunks,2007,26,39,33.0,65,55,60.0,-28,217326974,217,143,143138914,360465888,360,70,0,0,0,25,0,5.5
american gangster,2007,80,76,78.0,87,75,81.0,-3,130164645,130,138,137737769,267902414,268,100,0,0,3,21,0,7.4
bee movie,2007,52,54,53.0,53,64,59.0,-6,126631277,127,160,160492289,287123566,287,150,0,0,6,17,0,5.7
beowulf,2007,71,59,65.0,50,63,57.0,9,82195215,82,114,114068876,196264091,196,150,0,0,6,17,0,4.4
blades of glory,2007,69,64,67.0,68,70,69.0,-3,118594548,119,27,27114094,145708642,146,61,0,0,6,41,0,5.9
charlie wilson's war,2007,82,69,76.0,73,69,71.0,5,66661095,67,52,51814126,118475221,118,75,0,0,3,43,0,6.5
daddy day camp,2007,1,13,7.0,38,19,29.0,-22,13235267,13,5,4962131,18197398,18,6,0,0,11,25,0,4.4
disturbia,2007,67,62,65.0,77,81,79.0,-15,80209692,80,38,37550442,117760134,118,20,0,0,0,23,0,6.6
dragon wars (aka d-war),2007,27,33,30.0,19,29,24.0,6,10977721,11,63,63274132,74251853,74,75,0,0,6,14,0,5.0
enchanted,2007,93,75,84.0,80,83,82.0,3,127807262,128,213,212680390,340487652,340,85,0,0,6,25,0,6.6
epic movie,2007,2,17,10.0,29,21,25.0,-16,39739367,40,47,47126197,86865564,87,20,0,0,6,20,0,3.2
evan almighty,2007,23,37,30.0,52,47,50.0,-20,100462298,100,73,72929590,173391888,173,175,0,0,11,26,0,5.3
fantastic four: rise of the silver surfer,2007,35,45,40.0,51,64,58.0,-18,131921738,132,157,157126025,289047763,289,130,0,0,11,14,0,5.0
ghost rider,2007,28,35,32.0,48,38,43.0,-12,115802596,116,113,112935797,228738393,229,110,0,0,0,14,0,5.2
good luck chuck,2007,3,19,11.0,57,41,49.0,-38,35017297,35,24,24174831,59192128,59,25,0,0,6,37,0,5.6
grindhouse,2007,82,77,80.0,87,80,84.0,-4,25037897,25,0,384191,25422088,25,53,0,0,6,29,0,5.0
hairspray,2007,92,81,87.0,85,75,80.0,7,118871849,119,84,83676726,202548575,203,75,0,0,0,32,0,6.6
halloween,2007,26,47,37.0,59,57,58.0,-22,58272029,58,20,20197855,78469884,78,20,0,0,9,29,0,7.4
hitman,2007,15,35,25.0,57,65,61.0,-36,39687694,40,60,60276289,99963983,100,24,0,0,0,14,0,5.9
hostel part ii,2007,45,46,46.0,39,50,45.0,1,17609452,18,18,18010069,35619521,36,10,0,0,11,29,0,5.0
i am legend,2007,69,65,67.0,68,71,70.0,-3,256393010,256,328,327762415,584155425,584,150,0,0,0,38,0,6.9
i now pronounce you chuck and larry,2007,13,37,25.0,69,53,61.0,-36,120059556,120,66,65994618,186054174,186,85,0,0,6,20,0,5.0
in the land of women,2007,43,47,45.0,52,53,53.0,-8,11052958,11,7,6509113,17562071,18,10,0,0,6,23,0,5.8
juno,2007,94,81,88.0,88,83,86.0,2,143495265,144,88,87688908,231184173,231,8,0,0,6,20,1,7.0
lions for lambs,2007,27,47,37.0,47,51,49.0,-12,15000115,15,48,48209103,63209218,63,35,0,0,6,43,0,6.0
live free or die hard,2007,79,69,74.0,86,69,78.0,-4,134529403,135,249,249002043,383531446,384,110,0,0,11,14,0,6.4
meet the robinsons,2007,66,61,64.0,74,66,70.0,-7,97822171,98,72,71510807,169332978,169,100,0,0,0,17,0,6.7
michael clayton,2007,90,82,86.0,69,78,74.0,13,49033882,49,44,43957953,92991835,93,25,0,0,6,42,1,6.6
mr. brooks,2007,56,45,51.0,76,88,82.0,-32,28549298,29,20,19572602,48121900,48,20,0,0,6,42,0,6.8
mr. magorium's wonder emporium,2007,36,48,42.0,55,56,56.0,-14,32061555,32,37,36886258,68947813,69,25,0,0,6,26,0,6.0
music and lyrics,2007,63,59,61.0,68,83,76.0,-15,50572589,51,95,95323833,145896422,146,40,0,0,6,37,0,6.2
nancy drew,2007,49,53,51.0,59,65,62.0,-11,25612520,26,5,5054410,30666930,31,20,0,0,0,25,0,5.8
national treasure: book of secrets,2007,31,48,40.0,67,57,62.0,-23,219964115,220,237,237400485,457364600,457,130,0,0,11,15,0,6.1
next,2007,29,42,36.0,53,59,56.0,-21,18211013,18,55,55330487,73541500,74,70,0,0,0,38,0,5.9
norbit,2007,9,27,18.0,53,43,48.0,-30,95673607,96,64,63639954,159313561,159,60,0,0,6,37,0,5.0
ocean's 13,2007,70,62,66.0,75,64,70.0,-4,117154724,117,194,194157900,311312624,311,85,0,0,11,21,0,5.0
p.s. i love you,2007,21,39,30.0,80,68,74.0,-44,53695808,54,99,99397697,153093505,153,30,0,0,0,36,0,7.0
premonition,2007,8,29,19.0,50,55,53.0,-34,47852604,48,36,36143751,83996355,84,20,0,0,6,42,0,5.8
rush hour 3,2007,20,44,32.0,63,65,64.0,-32,140125968,140,118,117896265,258022233,258,140,0,0,11,14,0,6.1
saw iv,2007,18,36,27.0,62,61,62.0,-35,63300095,63,76,76052538,139352633,139,10,0,0,11,29,0,5.9
shoot 'em up,2007,67,49,58.0,65,78,72.0,-14,12807139,13,14,13911411,26718550,27,39,0,0,6,14,0,6.3
shooter,2007,47,53,50.0,80,81,81.0,-31,47003582,47,49,48693414,95696996,96,61,0,0,0,14,0,6.9
sicko,2007,93,74,84.0,87,76,82.0,2,24540079,25,11,11227679,35767758,36,9,0,0,5,22,0,7.3
spider-man 3,2007,61,59,60.0,51,66,59.0,2,336530303,337,554,554341323,890871626,891,258,0,0,11,14,0,5.9
stomp the yard,2007,27,44,36.0,81,70,76.0,-40,61356221,61,14,14154902,75511123,76,14,0,0,6,30,0,6.1
superbad,2007,87,76,82.0,87,80,84.0,-2,121463226,121,48,48408493,169871719,170,20,0,0,6,20,0,7.0
surf's up,2007,78,64,71.0,70,87,79.0,-8,58867694,59,90,90176819,149044513,149,85,0,0,6,17,0,5.9
the bourne ultimatum,2007,93,85,89.0,91,74,83.0,7,227471070,227,215,215351344,442822414,443,110,0,0,0,14,1,7.3
the bucket list,2007,41,42,42.0,77,74,76.0,-34,93466502,93,81,80843791,174310293,174,45,0,0,6,20,0,7.0
the game plan,2007,27,44,36.0,69,62,66.0,-30,90636983,91,57,57232341,147869324,148,22,0,0,6,25,0,6.0
the golden compass,2007,42,51,47.0,51,61,56.0,-10,70107728,70,302,302127136,372234864,372,180,0,0,0,26,1,5.8
the hills have eyes 2,2007,11,32,22.0,40,48,44.0,-23,20804166,21,17,16661824,37465990,37,15,0,0,11,29,0,5.2
the invasion,2007,19,45,32.0,40,72,56.0,-24,15074191,15,25,25096367,40170558,40,80,0,0,0,38,0,5.7
the kingdom,2007,52,56,54.0,76,61,69.0,-15,47536778,48,39,39072011,86608789,87,80,0,0,6,42,0,8.0
the kite runner,2007,66,61,64.0,84,79,82.0,-18,15800078,16,57,57393800,73193878,73,20,0,0,0,23,0,7.3
the mist,2007,72,58,65.0,65,69,67.0,-2,25593755,26,31,31235392,56829147,57,18,0,0,0,29,0,6.7
the reaping,2007,9,36,23.0,49,63,56.0,-34,25126214,25,38,37644845,62771059,63,40,0,0,6,29,0,5.4
there will be blood,2007,91,92,92.0,86,92,89.0,3,40222514,40,36,35959017,76181531,76,25,0,0,0,23,1,7.9
tmnt,2007,33,41,37.0,60,69,65.0,-28,54149098,54,41,40860790,95009888,95,35,0,0,0,17,0,6.0
transformers,2007,57,61,59.0,86,69,78.0,-19,319246193,319,389,389026388,708272581,708,150,0,0,0,38,0,6.6
tyler perry's why did i get married,2007,46,54,50.0,78,78,78.0,-28,55204525,55,1,658361,55862886,56,15,0,0,0,20,0,5.0
vacancy,2007,55,54,55.0,42,86,64.0,-10,19363565,19,16,15937080,35300645,35,19,0,0,6,29,0,6.0
waitress,2007,89,75,82.0,74,75,75.0,8,19074800,19,3,3104683,22179483,22,2,0,0,6,37,0,6.6
walk hard: the dewey cox story,2007,75,63,69.0,57,69,63.0,6,18317151,18,2,2258092,20575243,21,35,0,0,6,20,0,6.6
wild hogs,2007,14,27,21.0,61,48,55.0,-34,168273550,168,85,85351877,253625427,254,90,0,0,6,20,0,5.7
zodiac,2007,89,78,84.0,77,85,81.0,3,33080084,33,52,51705830,84785914,85,65,0,0,0,42,0,7.3
wall-e,2008,96,94,95.0,89,89,89.0,6,223810000,224,298,297500000,521310000,521,180,0,0,6,17,1,5.0
milk,2008,94,84,89.0,88,77,83.0,7,31840000,32,23,22750000,54590000,55,20,0,0,3,18,1,7.1
slumdog millionaire,2008,94,86,90.0,90,78,84.0,6,141320000,141,237,236590000,377910000,378,15,0,0,0,23,1,7.6
quantum of solace,2008,64,58,61.0,62,64,63.0,-2,168370000,168,418,417720000,586090000,586,230,0,0,11,14,0,6.1
kung fu panda,2008,88,73,81.0,83,81,82.0,-2,215430000,215,416,416310000,631740000,632,200,0,0,6,17,0,6.9
the chronicles of narnia: prince caspian,2008,66,62,64.0,78,65,72.0,-8,141620000,142,278,278040000,419660000,420,200,0,0,12,14,0,6.3
iron man,2008,94,79,87.0,91,83,87.0,-1,318760000,319,267,266760000,585520000,586,186,0,0,0,14,0,7.4
the dark knight,2008,94,82,88.0,96,90,93.0,-5,534860000,535,470,469700000,1004560000,1005,185,0,0,0,14,0,8.3
indiana jones and the kingdom of the crystal skull,2008,77,65,71.0,59,52,56.0,16,317100000,317,470,469530000,786630000,787,185,0,0,12,14,0,5.7
the curious case of benjamin button,2008,73,70,72.0,81,71,76.0,-5,127510000,128,206,206420000,333930000,334,160,0,0,0,26,0,7.3
bolt,2008,89,67,78.0,76,75,76.0,3,114050000,114,196,195930000,309980000,310,150,0,0,6,17,0,6.3
hancock,2008,40,49,45.0,67,65,66.0,-22,227950000,228,396,396440000,624390000,624,150,0,0,6,14,0,6.2
the mummy: tomb of the dragon emperor,2008,14,31,23.0,40,46,43.0,-21,102490000,102,299,298640000,401130000,401,145,0,0,11,14,0,5.2
college road trip,2008,13,36,25.0,56,67,62.0,-37,45610000,46,6,5940000,51550000,52,140,0,0,6,15,0,5.0
the incredible hulk,2008,67,61,64.0,75,75,75.0,-11,134810000,135,129,128620000,263430000,263,138,0,0,0,14,0,6.1
speed racer,2008,38,37,38.0,61,76,69.0,-31,43950000,44,50,50000000,93950000,94,120,0,0,0,14,0,5.7
"10,000 b.c.",2008,9,34,22.0,44,47,46.0,-24,94780000,95,175,175000000,269780000,270,105,0,0,6,14,0,5.0
the spiderwick chronicles,2008,79,62,71.0,67,66,67.0,4,71200000,71,92,91640000,162840000,163,92,0,0,0,15,0,6.3
tropic thunder,2008,83,71,77.0,69,73,71.0,6,110520000,111,78,77560000,188080000,188,90,0,0,6,14,0,6.5
dr. seuss' horton hears a who!,2008,79,71,75.0,75,77,76.0,-1,154530000,155,143,142610000,297140000,297,85,0,0,0,17,0,5.0
hellboy ii: the golden army,2008,87,78,83.0,70,73,72.0,11,75990000,76,84,84400000,160390000,160,82,0,0,11,14,0,6.5
bedtime stories,2008,25,33,29.0,63,59,61.0,-32,110100000,110,103,102770000,212870000,213,80,0,0,6,20,0,5.9
four christmases,2008,26,41,34.0,52,46,49.0,-16,120150000,120,44,43590000,163740000,164,80,0,0,6,20,0,5.3
you don't mess with the zohan,2008,36,54,45.0,50,53,52.0,-7,100020000,100,100,99920000,199940000,200,80,0,0,6,14,0,5.5
australia,2008,55,53,54.0,69,70,70.0,-16,49550000,50,162,161790000,211340000,211,78,0,0,6,15,0,6.3
wanted,2008,73,64,69.0,72,66,69.0,-1,134510000,135,207,206920000,341430000,341,75,0,0,0,14,0,6.4
valkyrie,2008,58,56,57.0,66,60,63.0,-6,83080000,83,117,117200000,200280000,200,75,0,0,3,28,0,6.7
fool's gold,2008,11,29,20.0,53,44,49.0,-29,70230000,70,41,41000000,111230000,111,72,0,0,6,15,0,5.4
yes man,2008,43,46,45.0,72,67,70.0,-25,97690000,98,126,125550000,223240000,223,70,0,0,0,20,0,6.4
body of lies,2008,53,57,55.0,65,72,69.0,-14,39390000,39,76,75700000,115090000,115,68,0,0,0,14,0,6.5
mamma mia!,2008,53,51,52.0,76,72,74.0,-22,144130000,144,466,465710000,609840000,610,66,0,0,0,20,0,6.4
step brothers,2008,54,51,53.0,68,71,70.0,-17,100470000,100,28,27640000,128110000,128,65,0,0,6,20,0,6.5
superhero movie,2008,15,33,24.0,36,53,45.0,-21,25880000,26,45,45360000,71240000,71,65,0,0,6,14,0,4.9
miss pettigrew lives for a day,2008,78,63,71.0,70,73,72.0,-1,12310000,12,4,4410000,16720000,17,60,0,0,0,20,0,6.8
meet dave,2008,19,43,31.0,42,55,49.0,-18,11800000,12,39,38850000,50650000,51,60,0,0,6,15,0,5.1
righteous kill,2008,19,36,28.0,44,48,46.0,-19,40080000,40,38,38380000,78460000,78,60,0,0,6,14,0,5.9
leatherheads,2008,52,56,54.0,41,57,49.0,5,31370000,31,10,9930000,41300000,41,58,0,0,6,20,0,5.7
sex and the city,2008,49,53,51.0,81,63,72.0,-21,152650000,153,263,262610000,415260000,415,58,0,0,0,20,0,6.0
marley and me,2008,63,53,58.0,77,66,72.0,-14,143150000,143,100,99560000,242710000,243,55,0,0,0,20,0,5.0
the forbidden kingdom,2008,64,57,61.0,65,75,70.0,-10,52080000,52,76,75900000,127980000,128,55,0,0,0,14,0,6.3
the tale of despereaux,2008,54,53,54.0,46,54,50.0,4,50880000,51,36,36070000,86950000,87,55,0,0,0,15,0,5.8
changeling,2008,62,63,63.0,84,78,81.0,-19,35740000,36,77,77280000,113020000,113,55,0,0,3,28,0,7.3
seven pounds,2008,27,36,32.0,77,55,66.0,-35,69950000,70,98,98220000,168170000,168,55,0,0,6,23,0,7.5
the happening,2008,19,34,27.0,29,53,41.0,-15,64510000,65,99,98900000,163410000,163,48,0,0,6,38,0,4.9
rambo,2008,36,46,41.0,70,86,78.0,-37,42750000,43,70,70490000,113240000,113,48,0,0,11,14,0,6.4
babylon a.d.,2008,7,26,17.0,32,46,39.0,-23,22530000,23,50,49580000,72110000,72,45,0,0,0,14,0,5.4
miracle at st. anna,2008,34,37,36.0,68,55,62.0,-26,7920000,8,1,1400000,9320000,9,45,0,0,0,14,0,6.3
journey to the center of the earth,2008,61,57,59.0,55,49,52.0,7,101700000,102,140,140290000,241990000,242,45,0,0,6,14,0,6.7
bangkok dangerous,2008,9,24,17.0,33,53,43.0,-27,15300000,15,27,27190000,42490000,42,45,0,0,10,14,0,6.1
death race,2008,42,43,43.0,69,68,69.0,-26,36320000,36,39,39360000,75680000,76,45,0,0,10,14,0,6.0
the other boleyn girl,2008,41,50,46.0,65,62,64.0,-18,26810000,27,51,50900000,77710000,78,40,0,0,0,18,0,6.4
drillbit taylor,2008,26,41,34.0,49,61,55.0,-22,32860000,33,17,16830000,49690000,50,40,0,0,6,20,0,5.5
made of honor,2008,13,37,25.0,61,46,54.0,-29,46010000,46,60,59950000,105960000,106,40,0,0,6,20,0,6.0
soul men,2008,45,49,47.0,42,57,50.0,-3,12080000,12,0,250000,12330000,12,40,0,0,6,20,0,6.3
vantage point,2008,35,66,51.0,61,83,72.0,-22,72270000,72,79,78900000,151170000,151,40,0,0,6,14,0,6.3
city of ember,2008,52,58,55.0,48,64,56.0,-1,7870000,8,10,10060000,17930000,18,38,0,0,0,15,0,6.2
the express,2008,62,58,60.0,73,81,77.0,-17,9790000,10,0,10000,9800000,10,38,0,0,0,18,0,7.1
nim's island,2008,51,55,53.0,50,67,59.0,-6,48010000,48,52,52070000,100080000,100,37,0,0,0,15,0,5.6
twilight,2008,49,56,53.0,82,49,66.0,-13,192770000,193,200,199850000,392620000,393,37,0,0,0,26,0,6.1
space chimps,2008,36,36,36.0,37,46,42.0,-6,30110000,30,35,34730000,64840000,65,37,0,0,6,17,0,5.1
21,2008,35,48,42.0,73,62,68.0,-26,81160000,81,77,76770000,157930000,158,35,0,0,0,21,0,6.5
max payne,2008,16,31,24.0,36,55,46.0,-22,40690000,41,45,44730000,85420000,85,35,0,0,0,14,0,5.2
untraceable,2008,14,32,23.0,56,55,56.0,-33,28690000,29,24,23970000,52660000,53,35,0,0,6,21,0,5.9
"welcome home, roscoe jenkins",2008,24,46,35.0,64,63,64.0,-29,42440000,42,1,1210000,43650000,44,35,0,0,6,20,0,5.0
what happens in vegas,2008,28,36,32.0,72,58,65.0,-33,80280000,80,139,139100000,219380000,219,35,0,0,6,20,0,5.8
mirrors,2008,14,35,25.0,49,57,53.0,-29,30690000,31,47,46800000,77490000,77,35,0,0,10,29,0,6.0
the x-files: i want to believe,2008,32,47,40.0,34,63,49.0,-9,20980000,21,47,47390000,68370000,68,35,0,0,11,33,0,5.0
doomsday,2008,48,51,50.0,47,50,49.0,1,11010000,11,11,11200000,22210000,22,33,0,0,6,14,0,5.8
gran torino,2008,80,72,76.0,90,85,88.0,-12,148100000,148,122,121860000,269960000,270,33,0,0,6,23,0,7.8
nights in rodanthe,2008,31,39,35.0,56,46,51.0,-16,41850000,42,43,42520000,84370000,84,30,0,0,0,36,0,5.9
88 minutes,2008,5,17,11.0,51,51,51.0,-40,17210000,17,15,15380000,32590000,33,30,0,0,6,33,0,5.7
forgetting sarah marshall,2008,85,67,76.0,75,75,75.0,1,63170000,63,42,42000000,105170000,105,30,0,0,6,20,0,6.4
igor,2008,36,40,38.0,42,59,51.0,-13,19530000,20,11,11220000,30750000,31,30,0,0,6,17,0,5.6
meet the spartans,2008,2,9,6.0,31,28,30.0,-24,38230000,38,46,46410000,84640000,85,30,0,0,6,20,0,3.8
pride & glory,2008,34,45,40.0,54,71,63.0,-23,15740000,16,15,15410000,31150000,31,30,0,0,6,21,0,5.0
role models,2008,77,60,69.0,75,75,75.0,-7,67290000,67,25,25090000,92380000,92,28,0,0,6,20,0,6.4
the sisterhood of the traveling pants 2,2008,65,63,64.0,67,67,67.0,-3,44090000,44,0,260000,44350000,44,27,0,0,11,20,0,6.1
pineapple express,2008,68,64,66.0,74,71,73.0,-7,87340000,87,14,14280000,101620000,102,26,0,0,6,14,0,6.6
w.,2008,60,56,58.0,42,50,46.0,12,25530000,26,4,3970000,29500000,30,25,0,0,3,18,0,6.0
doubt,2008,78,68,73.0,75,78,77.0,-4,33450000,33,17,17460000,50910000,51,25,0,0,0,34,0,7.0
the ruins,2008,46,44,45.0,32,54,43.0,2,17430000,17,5,5300000,22730000,23,25,0,0,0,29,0,5.6
cloverfield,2008,77,64,71.0,67,61,64.0,7,80050000,80,91,90720000,170770000,171,25,0,0,6,14,0,6.4
stop-loss,2008,65,61,63.0,27,66,47.0,17,10920000,11,0,290000,11210000,11,25,0,0,6,43,0,6.1
zack and miri make a porno,2008,64,56,60.0,70,68,69.0,-9,31460000,31,11,10650000,42110000,42,24,0,0,6,20,0,6.1
traitor,2008,55,60,58.0,66,81,74.0,-16,23530000,24,4,4130000,27660000,28,22,0,0,6,14,0,6.6
mad money,2008,22,41,32.0,51,63,57.0,-26,20670000,21,6,5740000,26410000,26,22,0,0,10,20,0,5.9
never back down,2008,23,39,31.0,37,76,57.0,-26,24850000,25,17,16780000,41630000,42,21,0,0,6,14,0,6.5
appaloosa,2008,77,64,71.0,55,55,55.0,16,20210000,20,7,7450000,27660000,28,20,0,0,0,21,0,6.3
tyler perry's meet the browns,2008,31,45,38.0,36,61,49.0,-11,41980000,42,0,0,41975388,42,20,0,0,0,20,0,5.0
the bank job,2008,78,69,74.0,74,76,75.0,-2,30060000,30,35,34760000,64820000,65,20,0,0,3,21,0,6.6
beverly hills chihuahua,2008,41,41,41.0,56,41,49.0,-8,94510000,95,55,54770000,149280000,149,20,0,0,6,15,0,4.9
disaster movie,2008,2,15,9.0,28,15,22.0,-13,14190000,14,21,20630000,34820000,35,20,0,0,6,20,0,3.1
ghost town,2008,85,72,79.0,60,73,67.0,12,13370000,13,14,13710000,27080000,27,20,0,0,6,20,0,6.4
my best friend's girl,2008,14,34,24.0,51,54,53.0,-29,19220000,19,22,22400000,41620000,42,20,0,0,6,20,0,5.4
swing vote,2008,36,47,42.0,44,63,54.0,-12,16290000,16,1,1340000,17630000,18,20,0,0,6,20,0,5.8
one missed call,2008,0,24,12.0,36,44,40.0,-28,26890000,27,19,18960000,45850000,46,20,0,0,10,29,0,5.8
sex drive,2008,46,49,48.0,61,71,66.0,-19,8400000,8,10,10350000,18750000,19,19,0,0,0,15,0,6.0
prom night,2008,8,17,13.0,46,43,45.0,-32,43870000,44,13,13330000,57200000,57,18,0,0,10,29,0,6.0
step up 2: the streets,2008,26,50,38.0,81,75,78.0,-40,58020000,58,93,92800000,150820000,151,18,0,0,11,30,0,6.5
vicky cristina barcelona,2008,82,70,76.0,73,69,71.0,5,23220000,23,73,73190000,96410000,96,16,0,0,6,36,0,6.7
the women,2008,13,27,20.0,41,46,44.0,-24,26900000,27,23,23110000,50010000,50,16,0,0,10,20,0,6.4
in bruges,2008,81,67,74.0,85,85,85.0,-11,7800000,8,26,25590000,33390000,33,15,0,0,6,20,0,7.4
penelope,2008,52,48,50.0,74,70,72.0,-22,10010000,10,11,11140000,21150000,21,15,0,0,6,20,0,6.8
the duchess,2008,60,62,61.0,68,80,74.0,-13,13850000,14,29,29460000,43310000,43,14,0,0,0,18,0,6.7
the boy in the striped pyjamas,2008,63,55,59.0,84,78,81.0,-22,9050000,9,31,31370000,40420000,40,12,0,0,0,28,0,7.7
cadillac records,2008,67,65,66.0,64,71,68.0,-2,8200000,8,1,680000,8880000,9,12,0,0,3,18,0,6.9
rachel getting married,2008,85,82,84.0,61,56,59.0,25,12800000,13,4,3830000,16630000,17,12,0,0,6,36,0,6.1
quarantine,2008,59,53,56.0,46,60,53.0,3,31690000,32,10,9630000,41320000,41,12,0,0,10,29,0,5.6
the eye,2008,22,36,29.0,51,67,59.0,-30,31420000,31,26,25550000,56970000,57,12,0,0,10,23,0,6.4
harold and kumar escape from guantanamo bay,2008,54,57,56.0,65,75,70.0,-15,38110000,38,5,5380000,43490000,43,12,0,0,11,15,0,5.0
the secret life of bees,2008,56,57,57.0,78,84,81.0,-25,37770000,38,2,2180000,39950000,40,11,0,0,0,23,0,7.4
saw v,2008,13,20,17.0,63,56,60.0,-43,56750000,57,57,57120000,113870000,114,11,0,0,11,21,0,6.0
over her dead body,2008,15,30,23.0,47,50,49.0,-26,7560000,8,14,13890000,21450000,21,10,0,0,6,20,0,5.3
tyler perry's the family that preys,2008,51,49,50.0,36,88,62.0,-12,37110000,37,0,0,37105289,37,10,0,0,6,23,0,5.0
the strangers,2008,44,47,46.0,48,64,56.0,-11,52600000,53,30,29790000,82390000,82,9,0,0,6,29,0,6.0
star wars: the clone wars,2008,19,35,27.0,46,52,49.0,-22,35160000,35,33,33120000,68280000,68,8,0,0,6,17,0,5.8
shutter,2008,7,37,22.0,40,59,50.0,-28,25930000,26,22,21950000,47880000,48,8,0,0,10,29,0,6.8
"definitely, maybe",2008,71,59,65.0,72,73,73.0,-8,32240000,32,23,23210000,55450000,55,7,0,0,6,20,0,6.7
smart people,2008,50,57,54.0,41,74,58.0,-4,9510000,10,2,2330000,11840000,12,7,0,0,6,20,0,5.8
the spirit,2008,14,30,22.0,29,50,40.0,-18,19810000,20,19,19230000,39040000,39,6,0,0,0,14,0,4.7
the haunting of molly hartley,2008,3,28,16.0,22,47,35.0,-19,13560000,14,2,1860000,15420000,15,5,0,0,6,29,0,4.3
semi-pro,2008,21,47,34.0,41,57,49.0,-15,33480000,33,10,10410000,43890000,44,3,0,0,6,20,0,5.4
under the same moon,2008,72,59,66.0,37,89,63.0,3,12590000,13,11,10720000,23310000,23,2,0,0,6,23,0,7.0
fireproof,2008,40,28,34.0,51,66,59.0,-25,33460000,33,0,20000,33480000,33,0,0,0,6,36,0,7.0
up,2009,98,88,93.0,86,88,87.0,6,293000000,293,438,438300000,731300000,731,175,0,0,6,17,1,7.8
the hurt locker,2009,97,94,96.0,83,71,77.0,19,17010000,17,32,32210000,49220000,49,15,0,0,6,42,1,7.2
transformers: revenge of the fallen,2009,20,35,28.0,76,56,66.0,-39,402100000,402,434,434200000,836300000,836,210,0,0,11,14,0,6.0
a christmas carol,2009,52,55,54.0,72,73,73.0,-19,137900000,138,187,187430000,325330000,325,200,0,0,0,17,0,7.0
g.i. joe: the rise of cobra,2009,33,32,33.0,62,53,58.0,-25,150200000,150,152,152260000,302460000,302,175,0,0,0,14,0,5.6
monsters vs. aliens,2009,72,56,64.0,65,66,66.0,-2,198400000,198,183,183200000,381500000,382,175,0,0,6,17,0,5.0
g-force,2009,22,41,32.0,50,41,46.0,-14,119400000,119,173,173380000,285100000,285,150,0,0,6,14,0,5.1
angels & demons,2009,36,48,42.0,65,62,64.0,-22,133400000,133,353,352600000,485900000,486,150,0,0,11,33,0,6.5
night at the museum: battle of the smithsonian,2009,43,42,43.0,60,54,57.0,-15,177200000,177,236,235800000,413000000,413,150,0,0,11,14,0,5.9
star trek,2009,94,83,89.0,91,80,86.0,3,257700000,258,128,127950000,385650000,386,140,0,0,6,14,0,7.4
watchmen,2009,64,56,60.0,68,77,73.0,-13,107500000,108,78,77700000,185300000,185,130,0,0,0,14,0,7.0
the princess and the frog,2009,84,73,79.0,72,72,72.0,7,104400000,104,163,162640000,267040000,267,105,0,0,0,17,0,6.7
land of the lost,2009,26,32,29.0,38,49,44.0,-15,49430000,49,19,19340000,68770000,69,100,0,0,0,15,0,5.4
public enemies,2009,67,70,69.0,65,65,65.0,4,97100000,97,117,117000000,214100000,214,100,0,0,0,18,0,6.5
the taking of pelham 1 2 3,2009,51,55,53.0,60,61,61.0,-8,65450000,65,85,84710000,150160000,150,100,0,0,0,14,0,6.2
where the wild things are,2009,73,71,72.0,59,64,62.0,11,77230000,77,23,22850000,100080000,100,100,0,0,0,15,0,6.4
ice age: dawn of the dinosaurs,2009,45,50,48.0,72,70,71.0,-24,196570000,197,690,690110000,886680000,887,90,0,0,11,17,0,6.5
fast and furious,2009,28,45,37.0,76,67,72.0,-35,155100000,155,208,208000000,363100000,363,85,0,0,11,14,0,5.0
nine,2009,37,49,43.0,40,41,41.0,3,19670000,20,34,34320000,53990000,54,80,0,0,0,32,0,5.1
surrogates,2009,39,45,42.0,42,57,50.0,-8,38570000,39,84,83860000,122430000,122,80,0,0,0,14,0,5.9
alvin and the chipmunks: the squeakquel,2009,21,41,31.0,59,45,52.0,-21,219500000,220,223,223000000,440700000,441,75,0,0,11,17,0,5.3
confessions of a shopaholic,2009,24,38,31.0,53,47,50.0,-19,44270000,44,64,64050000,108300000,108,70,0,0,0,20,0,6.1
inglourious basterds,2009,88,69,79.0,87,78,83.0,-4,120500000,120,201,200910000,321410000,321,70,0,0,6,15,0,7.9
planet 51,2009,22,39,31.0,45,51,48.0,-18,42190000,42,63,63450000,105640000,106,70,0,0,6,17,0,5.6
